,Idade,Salario
134,30,5576.0
135,31,5561.5
136,29,5427.0
137,35,5623.0
138,27,5105.0
139,36,5948.6
140,37,5887.84
141,34,5799.0
142,37,5988.78
143,29,5215.56
144,29,4651.0
145,31,5240.06
146,33,5744.76
147,26,4520.0
148,34,5639.0
149,30,5002.9
150,28,5266.0
151,29,4944.1
152,33,5552.0
153,32,5310.0
154,33,5835.0
155,29,5259.0
156,29,4935.0
157,32,5731.04
158,33,5576.0
159,33,6260.0
160,31,5338.0
161,33,5782.0
162,30,5615.0
163,30,5517.0
164,31,5248.0
165,38,5665.0
166,34,5923.0
167,35,6379.0
168,27,5466.0
169,25,4552.1
170,33,5576.0
171,26,4834.0
172,31,5987.0
173,35,5942.0
174,33,5835.0
175,29,4999.0
176,35,6091.0
177,29,5277.0
178,30,5038.0
179,30,5177.0
180,33,5570.0
181,35,6393.0
182,26,4501.0
183,35,5758.0
184,30,4856.88
185,30,5322.0
186,32,5574.0
187,28,5100.9
188,32,5608.0
189,35,5715.0
190,30,5127.0
191,30,5557.0
192,34,5496.82
193,30,5308.0
194,28,4880.0
195,32,5469.38
196,30,5106.0
197,29,5203.0
198,34,5660.0
199,32,5736.0
200,34,5671.0
201,34,5719.0
202,29,5064.0
203,30,5380.0
204,32,5538.96
205,33,5604.0
206,31,5465.0
207,34,6113.0
208,35,5805.0
209,37,6331.0
210,34,5599.0
211,32,5618.0
212,32,5236.0
214,31,4997.0
215,35,5887.0
216,32,5847.0
217,37,6326.0
218,29,5474.0
219,37,5892.0
220,31,5749.0
221,29,5566.0
222,34,5687.92
223,30,5091.0
224,23,4513.88
225,30,5092.08
226,32,4937.24
227,37,6376.0
228,35,6170.0
229,31,5680.0
230,32,5319.0
231,39,6338.0
232,26,5179.0
233,32,5523.28
234,32,5697.0
235,27,5088.0
236,30,5257.0
237,35,5956.0
238,27,4677.54
239,34,6115.0
240,32,5279.0
241,35,5825.0
242,34,5273.38
243,37,6063.0
244,29,5262.0
245,33,5520.34
246,32,5697.0
247,31,5310.62
248,33,5663.0
249,30,5313.0
250,34,5695.0
251,33,5693.0
252,26,4839.0
253,29,5183.0
254,30,5390.0
255,38,5786.0
256,33,5759.0
257,29,5225.36
258,31,5605.0
259,32,5845.0
260,31,5691.0
261,32,5703.6
262,26,5055.0
263,36,6427.0
264,29,4987.0
265,38,6025.04
266,31,5615.0
267,35,5915.0
268,37,5735.94
269,32,5682.0
270,32,5347.0
271,36,5936.84
272,32,5454.68
273,30,5436.0
274,29,4857.0
275,35,5564.0
276,35,5887.0
277,31,5310.0
278,35,6020.14
279,36,5943.0
280,31,5388.04
281,31,5465.0
282,32,5537.0
283,30,5630.0
284,32,6003.0
285,26,4651.08
286,33,5565.0
287,35,6113.0
288,32,5559.0
289,33,5786.0
290,34,5561.5
291,28,5033.28
293,33,5673.0
294,34,5735.0
295,24,4465.0
296,33,5622.26
297,39,6355.0
298,31,5407.0
299,33,5458.6
300,33,5362.56
301,35,5982.0
302,31,5569.0
303,37,6161.0
304,31,5434.0
305,28,5508.0
306,30,5060.0
307,33,5531.0
308,36,5840.8
309,29,5206.0
310,38,5568.36
311,30,5260.0
312,30,5352.0
313,31,5605.0
314,30,4866.68
315,27,4880.0
316,29,5400.0
317,31,5227.0
318,32,5440.96
319,28,5137.0
320,33,5630.0
321,31,5253.0
322,30,5343.0
323,32,5729.0
324,36,6186.74
325,31,5358.0
326,28,5096.98
327,35,5624.22
328,31,5485.0
329,34,5712.0
330,29,5224.0
331,33,5548.0
332,31,5342.0
333,28,5110.0
334,40,6390.0
335,37,6204.0
336,29,4860.8
337,32,5608.0
338,28,5023.0
339,28,4953.0
340,34,5958.4
341,33,5808.0
342,29,5183.0
343,39,6266.0
344,31,5251.82
345,36,5742.0
346,34,5566.0
347,31,5336.1
348,29,5053.86
349,32,5842.0
350,30,5126.0
351,30,5051.0
352,34,5616.0
353,38,6175.96
354,32,5593.0
355,32,5398.0
356,32,5097.0
357,32,5605.6
358,36,6129.0
359,32,5739.86
360,33,5690.0
361,30,5626.0
362,31,5264.0
363,29,5447.0
364,32,5493.0
365,36,6003.0
366,31,5213.0
367,33,5832.0
368,32,5627.0
369,27,5077.38
370,29,5341.0
371,34,5788.0
372,30,5358.0
373,36,6021.0
374,34,5502.7
375,34,5996.62
376,29,5114.62
377,28,4969.0
378,29,5304.0
379,32,5418.0
380,32,5515.0
381,29,5088.0
382,34,5589.0
383,32,5481.14
384,27,4570.0
385,28,5111.0
386,36,6312.0
387,37,6348.0
388,28,5131.0
389,36,6188.0
390,30,5375.0
391,27,5120.0
392,36,5706.54
393,30,5627.0
394,31,5628.0
395,29,4678.0
396,30,4836.3
397,33,5677.0
398,34,5722.0
399,30,4988.0
400,27,5049.0
401,32,5551.0
402,36,6080.0
403,30,5385.0
404,33,5165.0
405,29,5365.0
406,33,5416.46
407,31,5439.0
408,35,5684.0
409,31,5431.0
410,36,5822.0
411,31,5593.0
412,33,5763.0
413,36,6035.0
414,31,5545.0
415,32,5473.3
416,31,5319.44
417,31,5239.0
418,30,5207.0
419,27,4626.0
420,37,5801.6
421,30,5450.76
422,29,5239.0
423,30,5117.0
424,34,5557.58
425,29,5236.0
426,33,5562.0
427,34,5815.0
428,27,5088.16
429,36,6016.0
430,33,5689.88
431,31,5017.6
432,28,5176.0
433,37,6188.7
434,30,5316.0
435,33,5252.0
436,35,5868.0
437,24,4666.0
438,28,5478.0
439,33,5603.0
440,31,5225.36
441,25,4667.0
442,31,5163.0
443,34,5816.3
444,31,5376.0
445,29,5052.88
446,26,5019.0
447,34,5493.88
448,33,5583.0
449,28,5081.3
450,31,5324.34
451,35,5733.0
452,34,5629.12
454,32,5607.0
455,32,5434.0
456,31,5153.82
457,30,5372.0
458,28,4862.0
459,36,5671.0
460,35,6016.0
461,27,5280.0
462,30,5207.0
463,33,5568.36
464,30,5544.0
465,37,6164.0
466,32,5141.08
467,29,5580.0
468,28,5087.0
469,36,5774.0
470,33,5615.0
471,30,5014.66
472,34,5199.0
473,34,6074.0
474,33,5723.0
475,27,4998.98
476,37,6228.0
477,35,5486.0
478,23,4589.0
479,29,4905.88
480,31,5276.0
481,30,5190.0
482,35,5562.48
483,33,5530.0
484,29,5010.0
485,35,5878.04
486,31,5095.02
487,35,5481.0
488,26,4758.0
489,29,5422.0
490,35,5704.0
491,35,5761.42
492,34,5650.0
493,28,5148.0
494,30,5077.0
495,33,5527.0
496,37,5960.0
497,34,5931.0
498,30,5229.28
499,34,5695.76
500,39,6414.0
501,28,5225.0
502,33,5850.0
503,31,5020.54
504,29,5220.0
505,34,5539.0
506,31,5534.0
507,32,5221.0
508,31,5417.44
509,33,5562.48
510,33,5440.0
511,29,4605.02
512,37,6303.0
513,33,5418.0
514,33,5673.0
515,33,5848.0
516,30,5334.0
517,27,4725.0
518,32,5250.0
519,36,6276.0
520,29,4930.38
521,30,5263.0
522,31,5552.0
523,35,5958.0
524,35,5694.0
525,34,5725.16
526,29,5024.0
527,31,5434.1
528,33,5601.0
529,29,5020.0
530,38,6220.06
531,34,5989.0
532,28,4916.66
533,35,5586.98
534,34,5980.0
535,37,6271.0
536,34,5920.0
537,33,5962.0
538,38,6264.0
539,37,6373.0
540,31,5147.94
541,28,5061.7
542,34,5747.0
543,33,5584.0
544,31,5213.0
545,30,5226.0
546,26,5056.8
547,25,4458.02
548,34,6031.0
549,30,4979.38
550,30,5066.0
551,33,5618.0
552,31,5795.72
553,30,5680.0
554,27,5252.0
555,31,5082.28
556,26,4598.16
557,32,5405.0
558,33,5563.46
559,34,5583.0
560,28,4972.0
561,30,5201.84
562,34,6411.0
563,25,4523.0
564,27,4987.22
565,29,5256.0
566,29,5065.62
567,30,5163.0
568,29,5145.0
569,25,4967.0
570,31,5626.0
571,30,5191.06
572,38,6321.0
573,32,5622.0
574,30,5397.0
575,36,6183.0
576,34,5689.0
577,30,5195.0
578,34,5721.24
579,30,5142.06
580,32,5531.0
581,39,6211.0
582,32,5636.0
583,30,5513.0
584,36,5949.0
585,27,4676.0
586,35,5732.0
587,29,4996.0
588,31,5295.0
589,29,5576.0
590,25,5246.0
591,33,5574.24
592,32,5702.0
593,31,5695.0
594,33,5455.0
595,34,5597.0
596,28,5204.0
597,29,5096.0
598,32,5625.0
599,32,5504.66
600,31,5513.0
601,24,4710.86
602,31,5252.8
603,31,5446.0
604,33,5806.0
605,31,5471.0
606,31,5304.0
607,31,5496.82
608,34,5764.0
609,26,4512.9
610,30,5586.0
611,32,5358.0
612,31,5549.0
613,31,5531.0
614,27,5092.0
615,31,5841.0
616,30,4812.0
617,35,6015.24
618,29,5434.0
619,34,5859.0
620,33,5721.0
621,34,5709.0
622,23,4502.0
623,34,5724.0
624,24,4639.32
625,29,4906.86
626,35,6092.0
627,33,5623.0
628,30,5170.0
629,26,5055.0
630,33,5517.0
631,31,5667.0
632,34,6079.0
633,30,5138.14
634,30,5507.0
635,25,5202.0
636,34,5921.0
637,31,5010.74
638,28,5549.74
639,32,5281.0
640,33,6054.0
641,33,5947.0
642,34,5800.62
643,32,5429.2
644,35,5922.0
645,35,5477.0
646,32,5946.64
647,29,4732.42
648,31,5203.0
649,33,5439.0
650,30,5025.44
651,27,4921.0
652,29,5252.0
653,34,5607.0
654,32,5492.0
655,34,5610.0
656,36,5977.0
657,29,5108.0
658,26,4699.1
659,31,5149.0
660,30,5564.0
661,31,5485.0
662,34,5682.04
663,29,5198.0
664,30,5222.42
665,28,5391.0
666,35,6085.0
667,30,5490.0
668,32,5444.0
669,29,5344.0
670,37,6093.0
671,33,5167.0
672,28,5238.0
673,32,5455.0
674,30,5447.0
675,33,5371.0
676,27,5060.72
677,30,5244.0
678,30,5628.0
679,29,4885.0
680,27,4689.0
681,29,5060.0
682,26,4609.0
683,26,4900.0
684,31,5028.0
685,36,5969.18
686,32,5745.0
687,32,5782.0
688,31,5428.0
689,30,5283.0
690,29,5138.14
691,32,5458.6
692,31,5338.0
693,30,5353.0
694,26,5226.0
695,27,5067.0
696,34,5706.0
697,35,5581.0
698,35,5897.0
699,34,5564.0
700,32,5375.0
701,31,5271.0
702,31,5370.0
703,25,4642.26
704,25,4557.0
705,34,5525.0
706,34,5577.0
707,34,5860.0
708,32,5706.0
709,33,5671.26
710,36,5990.0
711,29,5306.0
712,28,4774.0
713,31,5686.0
714,36,6050.0
715,29,4979.0
716,31,5545.0
717,32,5822.0
718,34,5677.0
719,36,5849.0
720,28,4997.0
721,32,5200.86
722,33,5964.0
723,28,5290.0
724,29,5294.0
725,32,5557.58
726,36,5694.78
727,33,5760.0
728,36,6209.0
729,34,5870.2
730,34,5626.0
731,25,4538.0
732,35,5686.0
733,28,4976.0
734,30,5345.0
735,32,5373.0
736,33,5157.74
737,31,5239.08
738,28,4459.98
739,33,5398.82
740,32,5788.0
741,36,5688.9
742,31,5816.0
743,33,5550.0
744,27,5222.0
745,34,5586.0
746,31,5464.0
747,30,5081.0
748,34,5853.0
749,34,5933.0
750,36,6120.1
751,26,4591.0
752,32,5133.24
753,28,4818.66
754,32,5537.0
755,33,5302.0
756,28,5122.0
757,33,5626.0
758,32,5295.0
759,36,5602.0
760,32,4960.76
761,34,5904.0
762,31,5322.0
763,27,5043.0
764,27,4958.8
765,31,5316.0
766,34,5715.36
767,31,5509.0
768,33,5249.0
769,29,5123.0
770,34,5817.0
771,30,5236.14
772,29,5235.0
773,32,5427.0
774,31,5593.0
775,32,5385.1
776,33,5493.0
777,33,5084.24
778,36,5597.0
779,30,5323.0
780,28,4818.0
781,29,5186.0
782,29,5351.0
783,34,5528.0
784,29,5442.0
785,37,6033.0
786,35,5481.0
787,31,5327.0
788,27,5018.58
789,30,5050.92
790,29,5222.0
791,33,5548.0
792,31,5226.0
793,33,5880.0
794,33,5613.0
795,31,5379.22
796,29,5063.0
797,33,5548.0
798,32,5514.0
799,29,5202.0
800,27,4939.2
801,37,5973.0
802,37,6502.0
803,31,5195.96
804,37,5763.0
805,36,5581.1
806,34,5918.22
807,31,5415.48
808,34,5722.0
809,33,5677.0
810,25,4615.0
811,29,5344.0
812,34,5709.0
813,30,5402.0
814,31,5160.0
815,27,4506.04
816,29,4884.0
817,32,5125.0
818,30,5016.62
819,33,5554.0
820,35,6078.94
821,37,5929.0
822,35,5748.0
823,32,5928.0
824,33,5386.08
825,31,5739.0
826,30,5398.82
827,33,5989.0
828,36,6033.0
829,30,5944.0
830,30,5184.0
831,32,5556.0
832,31,5194.0
833,26,4933.0
834,33,5933.0
835,32,5711.0
836,33,6106.0
837,33,5535.04
838,32,6236.0
839,31,5056.0
840,29,5189.0
841,34,5728.0
842,34,5532.0
843,30,5483.0
844,27,4955.0
845,30,5387.0
846,31,5260.0
847,36,5766.32
848,32,5444.0
849,37,5814.34
850,31,4835.32
851,35,5775.14
852,35,5875.0
853,35,5854.0
854,33,5721.24
855,31,5181.26
856,32,5748.68
857,30,4907.84
858,36,6118.0
859,31,5512.0
860,32,5373.0
861,36,6153.0
862,28,5107.0
863,30,5283.0
864,32,5450.0
865,29,5127.0
866,28,4837.28
867,34,5341.0
868,35,6187.0
869,35,6200.0
870,34,5745.74
871,36,6068.0
872,26,4735.36
873,33,6089.72
874,31,5486.04
875,36,6129.9
876,31,5004.0
877,37,6427.0
878,33,5828.0
879,31,5618.0
880,27,4915.0
881,33,5376.28
882,30,5191.0
883,36,6026.0
884,31,5352.0
885,29,5390.0
886,32,5427.0
887,33,5753.0
888,32,5495.0
889,29,5110.7
890,30,5731.0
891,30,4961.74
892,31,5618.0
893,28,5089.0
894,26,5031.0
895,34,5542.88
896,35,5919.0
897,36,6165.0
898,29,5330.0
899,37,6264.0
900,28,5064.0
901,36,5956.0
902,33,5810.0
903,28,4942.14
904,29,4860.0
905,30,5052.0
906,36,5991.0
907,35,5657.0
908,34,6106.38
909,32,5277.0
910,35,6124.0
911,33,5474.0
912,31,5519.0
913,33,5708.0
914,29,5453.7
915,30,5469.0
917,31,5226.0
918,27,5031.0
919,32,5517.4
920,35,5803.0
921,28,5239.0
922,34,5802.0
923,34,5406.66
924,33,5490.94
925,31,5484.08
926,32,5856.0
927,36,6086.0
928,30,5424.0
929,35,5729.0
930,36,6112.26
931,33,5718.0
932,28,5190.0
933,34,5652.0
934,29,5005.0
935,30,5221.0
936,28,4876.48
937,31,5717.0
938,35,6282.0
939,36,5764.0
940,30,5257.0
941,31,5303.0
942,32,5091.0
943,40,6252.4
944,36,5903.52
945,28,5132.26
946,34,5639.0
947,30,5384.0
948,36,5838.0
949,29,5436.0
950,36,6184.0
951,31,5122.0
952,33,5635.0
953,32,5286.0
954,30,5557.0
955,35,5548.76
956,30,5213.6
957,34,5773.0
958,32,5183.0
959,34,5681.0
960,37,5821.2
961,32,5795.0
962,30,5111.0
963,32,5445.0
964,31,5569.0
965,33,5199.0
966,30,5515.0
967,31,5223.0
968,29,5294.0
969,35,5662.44
970,29,5012.7
971,34,5683.02
972,29,5131.0
973,27,4868.64
974,33,5727.0
975,37,5908.0
976,29,5294.0
977,31,5031.0
978,30,5537.0
979,32,5428.0
980,33,5697.0
981,29,5240.0
982,39,6211.24
983,34,5782.98
984,33,5643.0
985,29,5105.0
986,27,4674.6
987,35,5459.58
988,29,4973.0
989,25,4513.88
990,32,5150.88
991,29,5281.0
992,31,5572.0
993,29,4986.0
994,32,5601.0
995,30,5182.0
996,28,5225.0
997,33,5493.88
998,30,5252.0
999,35,6193.0
1000,33,5201.0
1001,27,4685.0
1002,29,5236.0
1003,30,5357.0
1004,31,5607.56
1005,35,5777.0
1006,24,4706.0
1007,33,5627.0
1008,34,5597.0
1009,30,5178.0
1010,36,6024.06
1011,37,6302.0
1012,34,5513.0
1013,26,5000.0
1014,29,5255.0
1015,34,5914.3
1016,33,5428.0
1017,30,5294.0
1018,30,5417.0
1019,34,5863.34
1020,31,5794.0
1021,32,5437.0
1022,29,5244.0
1023,30,5248.0
1024,35,6198.0
1025,29,5152.0
1026,32,5215.0
1027,33,5722.0
1028,32,5523.0
1029,34,5717.0
1030,32,5705.0
1031,32,5587.0
1032,32,5664.0
1033,37,6473.88
1034,32,5604.62
1035,30,5090.0
1036,25,4647.16
1037,34,5753.0
1038,34,5522.0
1039,28,5276.0
1040,32,5205.0
1041,32,5930.0
1042,29,5488.0
1043,32,5583.06
1044,34,5580.0
1045,31,5047.0
1046,30,5043.0
1047,34,5818.0
1048,28,5027.0
1049,33,5760.0
1050,30,5167.54
1051,32,5455.0
1052,32,5121.0
1053,30,5077.0
1054,32,5389.0
1055,31,5521.0
1056,30,5308.66
1057,34,5816.0
1058,32,5741.0
1059,30,5375.0
1060,34,5848.0
1061,24,4997.0
1062,31,5325.0
1063,31,5442.92
1064,37,5979.0
1065,27,5102.0
1066,32,5229.0
1067,29,4686.36
1068,33,5913.0
1069,29,5116.0
1070,35,6223.0
1071,30,5249.0
1072,25,4607.96
1073,33,5539.0
1074,33,5444.0
1075,32,5372.0
1076,29,5221.0
1077,33,5798.0
1078,37,6119.0
1079,32,5347.0
1080,35,6261.0
1081,37,5915.28
1082,31,5449.78
1083,31,5510.0
1084,36,6024.06
1085,36,5774.0
1086,36,6084.0
1087,30,5113.0
1088,24,4593.0
1089,32,5492.0
1090,32,5590.0
1091,38,6139.7
1092,35,5584.04
1093,30,5342.0
1094,33,5852.0
1095,30,5605.0
1096,30,5214.0
1097,34,5847.0
1098,33,5631.0
1099,35,6217.0
1100,33,5629.12
1101,34,5578.0
1102,29,5098.0
1103,30,4957.0
1104,33,5713.4
1105,32,5684.0
1106,31,5237.0
1107,34,5681.0
1108,32,5607.0
1109,35,5948.0
1110,32,5606.0
1111,35,5980.0
1112,32,5628.14
1113,32,5735.0
1114,32,5608.0
1116,36,6403.32
1117,32,5604.0
1118,33,5471.0
1119,32,5383.0
1120,28,4612.86
1121,34,5731.0
1122,33,5644.0
1123,29,5074.0
1124,31,5359.62
1125,32,5737.0
1126,32,5729.0
1127,34,5555.0
1128,32,5497.0
1129,36,5704.58
1130,31,5548.0
1131,38,5764.36
1132,30,5191.0
1133,27,5095.02
1134,31,5413.52
1135,33,5469.0
1136,35,5929.0
1137,35,5871.0
1138,30,5430.18
1139,32,5775.0
1140,26,4567.78
1141,27,4665.0
1143,28,5294.0
1144,31,5585.0
1145,25,4443.0
1146,32,5625.0
1147,29,5350.0
1148,32,5800.0
1149,33,5486.04
1150,33,5469.0
1151,31,5167.54
1152,29,4973.0
1153,37,6085.0
1154,33,5779.0
1155,34,5748.0
1156,35,5790.0
1157,33,5880.0
1158,36,5676.16
1159,34,5589.0
1160,35,5930.0
1161,33,5622.0
1162,29,5250.0
1163,31,5195.0
1164,34,5644.0
1165,32,5240.0
1166,31,5596.78
1167,33,5672.0
1168,35,5675.0
1169,37,5958.0
1170,31,5758.0
1171,33,5269.0
1172,30,5089.0
1173,26,4528.58
1174,33,5761.0
1175,33,5525.0
1176,32,5347.0
1177,30,5126.0
1178,31,5264.56
1179,27,4476.64
1180,38,5879.02
1181,31,5614.0
1182,31,5696.0
1183,29,5229.0
1184,33,5896.0
1185,32,5678.0
1186,34,5772.0
1187,33,5742.0
1188,34,5722.22
1189,33,5276.0
1190,37,5925.08
1191,27,5132.0
1192,33,5582.08
1193,32,5565.0
1194,30,5204.0
1195,28,4940.0
1196,33,5762.4
1197,35,5780.0
1198,32,5507.0
1199,31,5437.0
1200,29,5204.0
1201,31,5482.0
1202,33,5692.0
1204,32,5661.0
1205,34,5600.0
1206,36,6089.0
1207,32,5672.0
1208,34,5730.0
1209,36,5880.0
1210,27,5055.0
1211,36,5824.0
1212,29,5275.34
1213,32,5896.0
1214,35,5901.56
1215,32,5513.0
1216,34,5891.0
1217,30,5067.58
1218,31,5357.0
1219,29,4981.0
1220,30,5247.9
1221,27,4473.0
1222,29,5134.0
1223,33,5844.0
1224,30,4871.58
1225,30,5286.0
1226,32,5295.0
1227,32,5437.04
1228,32,5595.0
1229,31,5165.0
1230,28,5128.0
1231,30,5752.0
1232,29,5616.0
1233,31,5466.0
1234,32,5395.0
1235,31,5270.0
1236,34,5900.0
1238,33,5828.0
1239,34,5681.0
1240,30,5333.0
1241,36,5712.42
1242,31,5382.0
1243,31,5278.28
1244,33,5694.0
1245,33,5511.0
1246,33,5757.0
1247,32,5371.0
1248,34,5567.0
1249,32,5754.0
1250,33,5624.0
1251,31,5433.12
1252,28,5056.0
1253,32,5395.88
1254,33,5459.58
1255,33,5689.88
1256,33,5484.0
1257,31,5616.0
1258,30,5350.0
1259,30,5498.78
1260,36,5912.0
1261,31,5330.0
1262,31,5167.54
1263,27,4665.78
1264,28,5006.0
1265,31,5510.0
1266,35,5595.8
1267,33,5461.54
1268,37,6077.0
1269,31,5424.0
1270,30,5478.0
1271,31,5035.0
1272,28,5105.0
1273,33,6057.0
1274,31,5696.0
1275,33,5527.0
1276,32,5408.0
1277,33,5517.0
1278,31,5257.7
1279,29,5242.0
1280,28,5315.0
1281,34,5584.0
1282,29,5218.0
1283,30,5299.0
1284,31,5440.0
1285,30,5173.0
1286,35,5724.0
1287,35,6403.32
1288,28,5111.0
1289,35,5314.0
1290,26,4824.0
1291,31,5507.0
1292,28,5013.68
1293,30,5147.0
1294,28,5097.0
1295,28,5117.0
1296,34,5506.0
1297,34,5563.0
1298,32,5555.62
1299,35,6184.0
1300,31,5402.0
1301,35,5809.44
1302,35,6186.0
1303,34,5700.66
1304,35,6168.0
1305,33,5731.0
1306,28,5027.0
1307,35,5949.58
1308,28,5257.0
1309,33,5661.46
1310,28,5059.0
1311,33,5071.0
1312,33,5289.0
1313,30,5019.56
1314,31,5732.0
1315,35,5719.0
1316,29,5395.0
1317,35,6068.0
1318,35,5402.74
1319,31,5289.06
1320,34,5897.0
1321,31,5556.0
1322,32,5591.0
1323,33,6030.0
1324,31,5022.5
1325,33,5701.64
1326,33,5857.46
1327,31,5474.0
1328,27,5315.0
1329,33,5427.24
1330,29,5229.0
1331,30,5637.0
1332,35,5784.0
1333,28,5357.0
1334,31,5284.0
1335,35,6015.0
1336,29,5196.0
1337,31,5570.32
1338,28,4988.2
1339,31,5217.52
1340,34,5775.0
1341,31,5617.36
1342,33,5482.0
1343,29,5387.0
1344,27,5032.0
1345,31,5440.0
1346,34,5642.0
1347,34,5770.0
1348,32,5627.0
1349,30,5115.0
1350,31,4993.0
1351,33,5621.0
1352,29,5149.9
1353,36,6055.0
1354,30,5020.0
1355,29,5298.0
1356,32,5777.0
1357,31,5313.0
1358,36,5815.0
1359,32,5150.0
1360,31,5625.0
1361,33,5583.0
1362,33,5761.0
1363,31,5740.0
1364,35,5731.0
1365,28,5128.0
1366,28,4935.0
1367,36,5628.0
1368,31,5340.0
1369,33,5623.0
1370,33,5393.92
1371,35,5654.6
1372,33,5677.0
1373,26,4595.22
1374,33,5239.0
1375,27,5032.0
1376,35,5397.0
1377,33,5167.54
1378,37,5992.0
1379,27,4679.5
1380,25,4617.0
1381,30,5498.0
1382,34,5697.0
1383,30,5254.76
1384,33,5546.0
1385,33,5679.1
1386,32,5286.0
1387,31,5351.0
1388,31,5155.0
1389,35,5920.0
1390,31,5388.0
1391,34,5818.26
1392,30,5364.0
1393,33,5738.88
1394,29,5103.84
1395,33,5515.0
1396,34,5630.0
1397,33,5837.0
1398,30,5249.0
1399,34,5745.0
1400,32,5072.0
1401,27,4729.48
1402,30,5564.0
1403,37,6257.0
1404,35,5833.0
1405,31,5231.24
1406,34,5900.0
1407,29,5053.0
1408,30,5418.0
1409,31,5337.0
1410,29,5064.0
1411,31,5064.0
1412,33,5360.0
1413,29,4685.38
1414,34,5603.0
1415,27,4882.36
1416,38,6104.0
1417,37,5867.0
1418,31,5200.0
1419,32,5368.0
1420,39,6157.0
1421,32,5807.0
1422,33,5615.0
1423,31,5481.0
1424,31,5289.0
1425,31,5407.0
1426,27,4595.0
1427,36,5850.0
1428,33,5554.0
1429,31,5289.0
1430,30,5198.0
1431,35,6115.2
1432,27,5073.0
1433,33,5584.0
1434,29,5175.38
1435,29,4992.0
1436,33,5680.08
1437,33,5878.0
1438,30,5540.0
1439,34,5782.0
1440,36,5802.0
1441,34,5759.0
1442,35,5530.14
1443,32,5291.0
1444,34,5463.0
1445,33,5677.0
1446,35,6283.76
1447,32,5116.0
1448,29,5355.7
1449,30,5469.0
1450,34,5686.94
1451,33,5689.0
1452,31,5147.0
1453,30,5304.74
1454,31,5313.0
1455,33,6136.0
1456,30,5336.0
1457,31,5630.0
1458,33,5782.98
1459,36,6122.0
1460,27,5003.88
1461,33,5703.0
1462,31,5674.0
1463,34,5516.0
1464,32,5834.0
1465,30,5361.0
1466,30,5106.0
1467,37,6209.0
1468,30,5365.0
1469,31,5447.82
1470,31,5517.0
1471,36,6072.0
1472,34,5345.0
1473,29,5248.88
1474,37,5892.74
1475,30,5425.0
1476,33,5552.68
1477,31,5119.0
1478,27,5096.0
1479,36,6200.0
1480,29,5066.0
1481,36,6047.0
1482,33,5282.0
1483,34,5594.0
1484,37,5891.0
1485,35,6014.0
1486,36,6057.0
1487,27,4821.6
1488,32,5826.0
1489,34,5831.0
1490,29,5002.0
1491,30,5425.0
1492,34,5672.24
1493,25,5157.0
1494,30,5241.0
1495,30,5071.0
1496,30,5372.0
1497,29,4980.0
1498,31,5616.0
1499,30,5387.0
1500,35,6103.0
1501,29,5394.0
1502,35,6069.14
1503,33,5653.0
1504,29,5038.0
